,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
173,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",Romy,291540,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb
174,"Old Skool","Prem Dhillon",291033,https://open.spotify.com/track/4V9rQZOGILc4YfBnCDXgTz
175,"Aaj Bhi","Vishal Mishra",287126,https://open.spotify.com/track/6LpswW9691XT9OjVSvDU6G
176,"Same Beef",Bohemia,286958,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
177,"Ae Dil Hai Mushkil Title Track",Pritam,286086,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
178,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",285767,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
179,"Laal Bindi",Akull,284998,https://open.spotify.com/track/3gOlVEwSmsrqKt590wbWt3
180,"Kya Baat Aa","Karan Aujla",283565,https://open.spotify.com/track/5XBUtdLhHkWMacY3I5kz8X
181,"Bujji (From ""Jagame Thandhiram"")","Santhosh Narayanan",283236,https://open.spotify.com/track/6rJhjykEkCqm3H64uALhhf
182,Wolves,"Selena Gomez",282461,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
183,"It's You","Ali Gatie",282351,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
184,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",281856,https://open.spotify.com/track/5ZU1GwpkNJPaGbUwXX5rpQ
185,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",280203,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
186,"52 Gaj Ka Daman","Renuka Panwar",279751,https://open.spotify.com/track/6WsSXAOzm6xpWRivqdt98X
187,Bachalo,Akhil,279330,https://open.spotify.com/track/1v8NfOckFEnck9gp7iyetm
188,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]","Jubin Nautiyal",277310,https://open.spotify.com/track/3lT4SlZVvqLhMeiuBv7gHW
189,"Proper Patola",Badshah,277171,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
