,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
102,Veleno 7,Gemitaiz,426592,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh,12/27/2019,1/3/2020,Italy
103,6itch remix - feat. Nitro,tha Supreme,426505,https://open.spotify.com/track/5zYSf28jARgmMwk8FIaHnI,12/27/2019,1/3/2020,Italy
104,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,425864,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Italy
105,China,Anuel AA,424991,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Italy
106,Ostia Lido,J-AX,423363,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5,12/27/2019,1/3/2020,Italy
107,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,413595,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc,12/27/2019,1/3/2020,Italy
108,48H (feat. Sfera Ebbasta),Izi,412065,https://open.spotify.com/track/05mrU7mN3c1822bpY58UBC,12/27/2019,1/3/2020,Italy
109,"Cracovia, Pt. 3",Il Tre,409191,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI,12/27/2019,1/3/2020,Italy
110,Before You Go,Lewis Capaldi,398814,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Italy
111,gua10 - feat. Lazza,tha Supreme,398766,https://open.spotify.com/track/5Bjp0v6Pi3AS8PzZQG2nrg,12/27/2019,1/3/2020,Italy
112,Cascare nei tuoi occhi,Ultimo,393171,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M,12/27/2019,1/3/2020,Italy
113,Piece Of Your Heart,MEDUZA,392062,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Italy
